course_id,course_title,course_slug,category_id,category_name,suite_id,icon_url,description,purchase_url,free_trial_url
1,Basic Legionella Management,basic-legionella-management-1,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course1.png,"Explaining the background to Legionella and Legionnaires' Disease, the potential risks associated with water systems and how these can be prevented or controlled. This course defines behavioural safety and explains the origins of the concept. It covers how it can be implemented in the workplace and some of the potential benefits. It includes analysis of some examples of 'at risk behaviours' and some examples of ways you can measure how well your organisation is doing when it comes to safety. Finally it touches on some of the key laws regarding health and safety in the workplace and how to ensure positive workforce attitudes.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=1,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
2,Allergen Awareness,allergen-awareness-2,5,Hospitality,5,https://videotilehost.com/common/course-icons/course2.png,"As well as informing you about the risks of working with asbestos, the course will deliver a lot more information about: Recognising asbestos, where it's used, minimising the risks and the legislation about working with asbestos. As well as informing you about the risks of working with asbestos, the course will deliver a lot more information about: Recognising asbestos, where it's used, minimising the risks and the legislation about working with asbestos.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=2,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=2
3,Asbestos Awareness - IATP,asbestos-awareness-iatp-3,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course3.png,"As well as informing you about the risks of working with asbestos, the course will deliver a lot more information about: Recognising asbestos, where it's used, minimising the risks and the legislation about working with asbestos. This course is a variation on the Asbestos Awareness course that contains specific information for designers and architects. This course is aimed at companies who employ users of display screen equipment, or DSE as it's often called and is intended to be completed by those who will be assessing the DSE set ups of employees. DSE is a term that covers a wide range of equipment. If equipment like this is not set up correctly, users are at increased risk from certain disorders.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=3,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=3
4,Level 2 Food Safety - Manufacturing,level-2-food-safety-manufacturing-4,5,Hospitality,5,https://videotilehost.com/common/course-icons/course4.png,"Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 2 course is about minimising the level of potential hazards in a food manufacturing setting. Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 2 course is about minimising the level of potential hazards in a food retail setting.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=4,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
5,Level 1 Health and Safety in a Construction Environment (Leading to CSCS Green Card),level-1-health-and-safety-in-a-construction-environment-leading-to-cscs-green-card-5,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course5.png,"Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 2 course is about minimising the level of potential hazards in a food catering setting. Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 2 course is about minimising the level of potential hazards in a food manufacturing setting.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=5,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=5
6,Level 2 Food Safety - Manufacturing,level-2-food-safety-manufacturing-6,5,Hospitality,5,https://videotilehost.com/common/course-icons/course6.png,"Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 2 course is about minimising the level of potential hazards in a food retail setting. This course is aimed at anyone that works on licensed premises and gives them an overview of key topics relating to UK licencing law, responsibilities and penalties for breaching these. It also looks in detail at the issue of age verification including an interactive element to support learning in this area.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=6,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=6
9,Managing Occupational Health and Wellbeing,managing-occupational-health-and-wellbeing-9,4,Mental Health & Wellbeing,4,https://videotilehost.com/common/course-icons/course9.png,"This course outlines exactly what constitutes manual handling and covers the regulations and legislation that apply to manual handling tasks. It then goes on to cover safe handling techniques and how to develop good habits in relation to manual handling. It finishes off by introducing some practical solutions and the use of mechanical aids.Important note: Please note that this is an awareness course only, if your duties include manual handling you will also need further practical training, you can get in touch with us to arrange this. This course will show you how dangerous noise can be in the workplace, and the main safety issues you should be aware of. It will take you through some of the simple science, the main laws that apply and introduce you to noise level limits. It also covers some of the specific health risks and how to avoid them by producing risk assessments, action plans and through the provision of appropriate Personal Protective Equipment.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=9,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=9
10,Level 1 Food Safety - Manufacturing,level-1-food-safety-manufacturing-10,5,Hospitality,5,https://videotilehost.com/common/course-icons/course10.png,"Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 1 course is about minimising the level of potential hazards in a food manufacturing setting. Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 1 course is about minimising the level of potential hazards in a food retail setting.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=10,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
11,Ladder Safety,ladder-safety-11,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course11.png,"Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 1 course is about minimising the level of potential hazards in a food catering setting. Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 1 course is about minimising the level of potential hazards in a food manufacturing setting.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=11,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=11
12,Level 1 Food Safety - Manufacturing,level-1-food-safety-manufacturing-12,5,Hospitality,5,https://videotilehost.com/common/course-icons/course12.png,"Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 1 course is about minimising the level of potential hazards in a food retail setting. Food safety combines a number of practices to reduce health hazards. These include premises hygiene, personal hygiene, risk control, pest control and waste management. This level 2 course is about minimising the level of potential hazards in a food catering setting.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=12,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=12
